,dim,walk_len,n_walks,p,q,window,hopkins
246,40,35,10,0.75,1.0,5,0.4937722158868823
247,40,35,10,0.75,1.0,10,0.5093569012157597
248,40,35,10,0.75,1.0,15,0.581223527012878
249,40,35,15,0.75,1.0,5,0.5097936472268044
250,40,35,15,0.75,1.0,10,0.5638529282322917
251,40,35,15,0.75,1.0,15,0.45821069317156865
252,40,45,5,0.75,1.0,5,0.5608205361146751
253,40,45,5,0.75,1.0,10,0.5838369648161893
254,40,45,5,0.75,1.0,15,0.46434998945208245
255,40,45,10,0.75,1.0,5,0.5233777939333295
256,40,45,10,0.75,1.0,10,0.5254267235089585
257,40,45,10,0.75,1.0,15,0.5137098482169601
258,40,45,15,0.75,1.0,5,0.4094209813924268
259,40,45,15,0.75,1.0,10,0.5278792669560148
260,40,45,15,0.75,1.0,15,0.5152562976058896
261,40,55,5,0.75,1.0,5,0.45279127776324724
262,40,55,5,0.75,1.0,10,0.6728576345383241
263,40,55,5,0.75,1.0,15,0.5068270709034537
264,40,55,10,0.75,1.0,5,0.44039802531289096
265,40,55,10,0.75,1.0,10,0.6168858302985664
266,40,55,10,0.75,1.0,15,0.6032915058941745
267,40,55,15,0.75,1.0,5,0.57883891953396
268,40,55,15,0.75,1.0,10,0.48714472083787175
269,40,55,15,0.75,1.0,15,0.6466022646450709
270,40,65,5,0.75,1.0,5,0.42192978178531565
271,40,65,5,0.75,1.0,10,0.5000686782801285
272,40,65,5,0.75,1.0,15,0.3981182062492206
273,40,65,10,0.75,1.0,5,0.48947202167575266
274,40,65,10,0.75,1.0,10,0.5012494366169783
275,40,65,10,0.75,1.0,15,0.48808071464545577
276,40,65,15,0.75,1.0,5,0.5261616586012613
277,40,65,15,0.75,1.0,10,0.5680919890558597
278,40,65,15,0.75,1.0,15,0.6090796767970219
279,40,75,5,0.75,1.0,5,0.6288107332947258
280,40,75,5,0.75,1.0,10,0.496762241532936
281,40,75,5,0.75,1.0,15,0.5050184327377124
282,40,75,10,0.75,1.0,5,0.6233111684408328
283,40,75,10,0.75,1.0,10,0.48010953855814414
284,40,75,10,0.75,1.0,15,0.4729259253433175
285,40,75,15,0.75,1.0,5,0.6548374450097791
286,40,75,15,0.75,1.0,10,0.5403227915612867
287,40,75,15,0.75,1.0,15,0.4925616799210212
288,50,5,5,0.75,1.0,5,0.604980937301843
289,50,5,5,0.75,1.0,10,0.638691844817662
290,50,5,5,0.75,1.0,15,0.6543174153633705
