,dim,walk_len,n_walks,p,q,window,ARI
267,40,55,15,0.75,1.0,5,-0.024844720496894408
268,40,55,15,0.75,1.0,10,-0.024844720496894408
269,40,55,15,0.75,1.0,15,-0.04032258064516129
270,40,65,5,0.75,1.0,5,0.008064516129032258
271,40,65,5,0.75,1.0,10,-0.024844720496894408
272,40,65,5,0.75,1.0,15,-0.024844720496894408
273,40,65,10,0.75,1.0,5,-0.024844720496894408
274,40,65,10,0.75,1.0,10,-0.024844720496894408
275,40,65,10,0.75,1.0,15,-0.024844720496894408
276,40,65,15,0.75,1.0,5,-0.024844720496894408
277,40,65,15,0.75,1.0,10,-0.08870967741935484
278,40,65,15,0.75,1.0,15,-0.024844720496894408
279,40,75,5,0.75,1.0,5,-0.04032258064516129
280,40,75,5,0.75,1.0,10,-0.024844720496894408
281,40,75,5,0.75,1.0,15,-0.024844720496894408
282,40,75,10,0.75,1.0,5,-0.024844720496894408
283,40,75,10,0.75,1.0,10,-0.024844720496894408
284,40,75,10,0.75,1.0,15,-0.024844720496894408
285,40,75,15,0.75,1.0,5,-0.024844720496894408
286,40,75,15,0.75,1.0,10,-0.024844720496894408
287,40,75,15,0.75,1.0,15,-0.024844720496894408
288,50,5,5,0.75,1.0,5,-0.04032258064516129
289,50,5,5,0.75,1.0,10,-0.08870967741935484
290,50,5,5,0.75,1.0,15,-0.04032258064516129
291,50,5,10,0.75,1.0,5,0.1532258064516129
292,50,5,10,0.75,1.0,10,-0.08870967741935484
293,50,5,10,0.75,1.0,15,0.2688679245283019
294,50,5,15,0.75,1.0,5,-0.029411764705882353
295,50,5,15,0.75,1.0,10,-0.050955414012738856
296,50,5,15,0.75,1.0,15,0.25
297,50,15,5,0.75,1.0,5,0.20161290322580644
298,50,15,5,0.75,1.0,10,0.021739130434782608
299,50,15,5,0.75,1.0,15,0.056451612903225805
300,50,15,10,0.75,1.0,5,-0.04032258064516129
301,50,15,10,0.75,1.0,10,0.06862745098039216
302,50,15,10,0.75,1.0,15,0.06862745098039216
303,50,15,15,0.75,1.0,5,0.056451612903225805
304,50,15,15,0.75,1.0,10,-0.04032258064516129
305,50,15,15,0.75,1.0,15,0.056451612903225805
306,50,25,5,0.75,1.0,5,0.008064516129032258
307,50,25,5,0.75,1.0,10,0.008064516129032258
308,50,25,5,0.75,1.0,15,0.008064516129032258
309,50,25,10,0.75,1.0,5,0.056451612903225805
310,50,25,10,0.75,1.0,10,-0.024844720496894408
311,50,25,10,0.75,1.0,15,0.06862745098039216
312,50,25,15,0.75,1.0,5,0.06862745098039216
313,50,25,15,0.75,1.0,10,-0.024844720496894408
314,50,25,15,0.75,1.0,15,-0.024844720496894408
