hhcluster_id,h_size,n_triangles
310100001005557581,33,6
310100001029172493,33,6
310100001043258883,33,6
310100001101309677,33,6
310100001101347557,33,6
310100001284583251,33,6
310100001348979254,33,6
310100001438693122,33,6
310100000011754475,33,5
310100000139637704,33,5
310100000213410969,33,5
310100000217415366,33,5
310100000741831711,33,5
310100000840101454,33,5
310100000903250045,33,5
310100001111025540,33,5
310100001142143128,33,5
310100001292150880,33,5
310100001330151325,33,5
310100001548635465,33,5
310100001919017391,33,5
310100000341103771,33,4
310100001998218602,33,4
310100000084131437,33,3
310100000218962016,33,3
310100000286562442,33,3
310100000511882109,33,3
310100000918793388,33,3
310100001852906890,33,3
310100000022693727,33,2
310100000341161744,33,2
310100000757604404,33,2
310100001188493416,33,2
310100001575884448,33,2
310100001739014059,33,2
310100002340018770,33,2
310100000008401630,33,1
310100000366116461,33,1
310100000639301192,33,1
310100000772110150,33,1
310100001545480831,33,1
310100001744480731,33,1
310100000925672599,33,0
310100000192301906,32,28
310100000125934867,32,26
310100000662097816,32,26
310100001893623956,32,26
310100001384354591,32,25
310100000826823895,32,24
310100000222407084,32,23
310100000158087771,32,22
310100000222512586,32,22
310100001830821960,32,22
310100000219346834,32,21
310100000049687076,32,20
310100001766921706,32,19
310100000145696269,32,18
310100000880106351,32,18
310100001064178925,32,18
310100001478658560,32,18
310100000774568484,32,17
310100000801530214,32,17
310100001043920261,32,17
310100000212842298,32,16
310100000318301458,32,16
310100000814532613,32,16
310100001111117942,32,16
310100001651886992,32,16
310100000007435746,32,15
310100000126250238,32,15
310100000744346532,32,15
310100000780747749,32,15
310100000829670649,32,15
310100000907220906,32,15
310100001032582411,32,15
310100001670879538,32,15
310100001731431143,32,15
310100001887148545,32,15
310100000156055536,32,14
310100000470574582,32,14
310100000676978843,32,14
310100000745185450,32,14
310100000769681459,32,14
310100001591582004,32,14
310100001961010941,32,14
310100000053138695,32,13
310100000217620222,32,13
310100000221213473,32,13
310100000811047360,32,13
310100000832598524,32,13
310100001530248359,32,13
310100000292268912,32,12
310100000365872283,32,12
310100000650362260,32,12
310100000784874710,32,12
310100001432641694,32,12
310100001614916643,32,12
310100001635510811,32,12
310100001670552373,32,12
310100001859964346,32,12
310100001865452298,32,12
310100001969553872,32,12
310100000006562619,32,11
310100000018426339,32,11
310100000218701983,32,11
310100000282616292,32,11
310100000366829896,32,11
310100000661773363,32,11
310100000853447393,32,11
310100001306956375,32,11
310100001502064819,32,11
310100000695747147,32,10
310100000903419002,32,10
310100001509883605,32,10
310100001866682230,32,10
310100001920543875,32,10
310100002042725671,32,10
310100000024962935,32,9
310100000266898605,32,9
310100000606370296,32,9
310100000616424458,32,9
310100001162217888,32,9
310100000001822934,32,8
310100000597562787,32,8
310100000599453090,32,8
310100000747306103,32,8
310100000847699718,32,8
310100001246732528,32,8
310100001920797325,32,8
310100001930509458,32,8
310100002000093388,32,8
310100000103910480,32,7
310100000187100127,32,7
310100000213703945,32,7
310100000348209380,32,7
310100000617604030,32,7
310100000813309218,32,7
310100000927332714,32,7
310100000969324119,32,7
310100001496211241,32,7
310100001545354346,32,7
310100001910070534,32,7
310100000052361331,32,6
310100000056758062,32,6
310100000207829291,32,6
310100000223207181,32,6
310100000818760543,32,6
310100000934785409,32,6
310100001362254376,32,6
310100001855047340,32,6
310100001873732398,32,6
310100002289176340,32,6
310100000004568146,32,5
310100000016547019,32,5
310100000059152600,32,5
310100000086926435,32,5
310100000125754683,32,5
310100000144432050,32,5
310100000152753754,32,5
310100000206413243,32,5
310100000212193773,32,5
310100000440387668,32,5
310100000516764314,32,5
310100000728372888,32,5
310100000785103076,32,5
310100000908427330,32,5
310100000916458407,32,5
310100001081407572,32,5
310100001081529557,32,5
310100001529388851,32,5
310100001635275114,32,5
310100001652171002,32,5
310100000002336409,32,4
310100000031653836,32,4
310100000033823005,32,4
310100000036679444,32,4
310100000217588696,32,4
310100000222371709,32,4
310100000485015902,32,4
310100000694536534,32,4
310100000757500280,32,4
310100000932059303,32,4
310100001005443936,32,4
310100001058002040,32,4
310100001108622107,32,4
310100001242055149,32,4
310100001862961099,32,4
310100001863490503,32,4
